# Synthetic demo data - NOT a real measurement
# generated 2026-09-05 | seed=20260905 | gaussian noise sigma=2.0 N
# columns: x_mm (displacement, mm), force_N (force, N)
x_mm,force_N
-3.0000,-102.3541
-2.9114,-94.2988
-2.8228,-86.7844
-2.7342,-81.8100
-2.6456,-72.2104
-2.5570,-67.3629
-2.4684,-61.0940
-2.3797,-56.8407
-2.2911,-51.5170
-2.2025,-40.9258
-2.1139,-38.7790
-2.0253,-34.3562
-1.9367,-31.8821
-1.8481,-28.1935
-1.7595,-23.4834
-1.6709,-22.0779
-1.5823,-18.6471
-1.4937,-16.4096
-1.4051,-9.7758
-1.3165,-10.3650
-1.2278,-5.3105
-1.1392,-9.6836
-1.0506,-4.7877
-0.9620,-2.7237
-0.8734,-2.9897
-0.7848,2.3044
-0.6962,1.3990
-0.6076,-0.0477
-0.5190,5.7181
-0.4304,6.4893
-0.3418,4.7351
-0.2532,5.6359
-0.1646,3.9074
-0.0759,8.8005
0.0127,7.5970
0.1013,8.4758
0.1899,5.9093
0.2785,6.9496
0.3671,5.2591
0.4557,6.7276
0.5443,8.7976
0.6329,7.9834
0.7215,9.6957
0.8101,4.7240
0.8987,9.2741
0.9873,4.5275
1.0759,6.7284
1.1646,4.8701
1.2532,7.7122
1.3418,7.0571
1.4304,5.0195
1.5190,4.5512
1.6076,8.2442
1.6962,11.0047
1.7848,9.4099
1.8734,8.0379
1.9620,10.7779
2.0506,12.6110
2.1392,13.9501
2.2278,10.9330
2.3165,12.9515
2.4051,11.3625
2.4937,18.1004
2.5823,16.4806
2.6709,12.5877
2.7595,17.4857
2.8481,24.6293
2.9367,22.5447
3.0253,25.0513
3.1139,28.8457
3.2025,29.9140
3.2911,32.0672
3.3797,36.2310
3.4684,39.3872
3.5570,43.3286
3.6456,46.6577
3.7342,57.8843
3.8228,54.9901
3.9114,60.5515
4.0000,65.4165
